VIN (1-10),County,City,State,Postal Code,Model Year,Make,Model,Electric Vehicle Type,Clean Alternative Fuel Vehicle (CAFV) Eligibility,Electric Range,Base MSRP,Legislative District,DOL Vehicle ID,Vehicle Location,Electric Utility,2020 Census Tract
3MW5P9J05N,Arapahoe,Englewood,CO,80111,2022,BMW,330E,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,22,0,,200589147,POINT (-104.89239 39.61914),,08005006861
5YJXCBE27J,Island,Greenbank,WA,98253,2018,TESLA,MODEL X,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,238,0,10,326880081,POINT (-122.575569 48.08489),,53029971302
1N4AZ0CP3F,Kings,Lemoore,CA,93245,2015,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84,0,,182237457,POINT (-119.78637 36.30101),,06031980000
5YJ3E1EA8J,San Diego,Oceanside,CA,92051,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,,153998050,,,06073018509
5YJ3E1EB1K,Alameda,Berkeley,CA,94710,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220,0,,320914072,POINT (-122.300531 37.869271),,06001423200
5YJSA1E23L,El Paso,Colorado Springs,CO,80925,2020,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,330,0,,148640635,POINT (-104.63826 38.74006),,08041004518
3FA6P0SU5E,New Haven,Madison,CT,6443,2014,FORD,FUSION,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,19,0,,148736234,,,09009194201
5YJ3E1EB3K,Kern,Ridgecrest,CA,93555,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220,0,,312503502,POINT (-117.555001 35.712094),,06029005300
1N4BZ0CP8H,Chelan,Wenatchee,WA,98801,2017,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,107,0,12,192768747,POINT (-120.336499 47.425146),PUD NO 1 OF CHELAN COUNTY,53007961304
1G1RC6S57H,San Diego,San Diego,CA,92123,2017,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,53,0,,137261820,POINT (-117.15432 32.79315),,06073009201
WVWKR7AU3K,Snohomish,Edmonds,WA,98026,2019,VOLKSWAGEN,E-GOLF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,125,0,32,477565112,POINT (-122.333046 47.829439),PUGET SOUND ENERGY INC,53061050402
5YJ3E1EB0J,Island,Clinton,WA,98236,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,10,476402678,POINT (-122.35803 47.9796),PUGET SOUND ENERGY INC,53029972100
5YJ3E1ECXL,Arlington,Arlington,VA,22203,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,308,0,,4760486,POINT (-77.13581 38.86995),,51013101408
5YJ3E1EBXL,Snohomish,Brier,WA,98036,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,322,0,1,103288153,POINT (-122.281856 47.811678),PUGET SOUND ENERGY INC,53061051913
5UXTA6C00M,Island,Langley,WA,98260,2021,BMW,X5,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,30,0,10,132882725,POINT (-122.438132 48.029812),PUGET SOUND ENERGY INC,53029971900
WMEFJ9BA2J,Thurston,Olympia,WA,98503,2018,SMART,EQ FORTWO,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,58,0,2,476387103,POINT (-122.82324 47.04437),PUGET SOUND ENERGY INC,53067011500
5UXKT0C39H,King,Seattle,WA,98109,2017,BMW,X5,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,14,0,36,127797393,POINT (-122.346385 47.630685),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033006000
WBY7Z2C52J,King,Seattle,WA,98126,2018,BMW,I3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,114,0,34,138171659,POINT (-121.97745 47.53433),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033011500
WBY1Z6C53H,Thurston,Yelm,WA,98597,2017,BMW,I3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,81,0,2,169680787,POINT (-122.558621 46.888349),PUGET SOUND ENERGY INC,53067012422
5YJ3E1EA1J,Skagit,Burlington,WA,98233,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,40,211534823,POINT (-122.342773 48.49381),PUGET SOUND ENERGY INC,53057951600
JN1AZ0CPXB,Snohomish,Everett,WA,98204,2011,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,73,0,21,127427037,POINT (-122.255648 47.899424),PUGET SOUND ENERGY INC,53061041905
5UXTA6C0XN,Snohomish,Mill Creek,WA,98012,2022,BMW,X5,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,30,0,44,205884136,POINT (-122.201515 47.843376),PUGET SOUND ENERGY INC,53061052004
1N4AZ0CP6E,Snohomish,Bothell,WA,98012,2014,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84,0,21,208430575,POINT (-122.201515 47.843376),PUGET SOUND ENERGY INC,53061051927
5YJ3E1EB1J,Kitsap,Bremerton,WA,98312,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,26,475527244,POINT (-122.66122 47.56573),PUGET SOUND ENERGY INC,53035081000
1N4AZ1CV6N,Snohomish,Monroe,WA,98272,2022,NISSAN,LEAF,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,39,183063072,POINT (-121.92791 47.853585),PUGET SOUND ENERGY INC,53061052203
5YJSA1E21K,Skagit,Anacortes,WA,98221,2019,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,270,0,40,237757754,POINT (-122.628418 48.487079),PUGET SOUND ENERGY INC,53057940201
JTDKARFP3K,Walla Walla,Walla Walla,WA,99362,2019,TOYOTA,PRIUS PRIME,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,25,0,16,218044851,POINT (-118.342366 46.081666),PACIFICORP,53071920200
WBY1Z8C55H,Kitsap,Suquamish,WA,98392,2017,BMW,I3,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,97,0,23,348140327,POINT (-122.55242 47.73162),PUGET SOUND ENERGY INC,53035940100
5YJ3E1EB2K,Yakima,Yakima,WA,98908,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220,0,14,478429570,POINT (-120.646044 46.609142),PACIFICORP,53077000903
3C3CFFGE4E,Yakima,Yakima,WA,98902,2014,FIAT,500,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,87,0,14,1593721,POINT (-120.532719 46.59458),PACIFICORP,53077000700
5YJXCDE21K,Snohomish,Marysville,WA,98271,2019,TESLA,MODEL X,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,289,0,38,254402249,POINT (-122.19388 48.15353),,53061940001
1N4BZ0CP1H,King,Redmond,WA,98052,2017,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,107,0,48,341095296,POINT (-122.122018 47.678465),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032325
WBA5P9C02M,Snohomish,Everett,WA,98203,2021,BMW,330E,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,20,0,38,195224977,POINT (-122.227707 47.943014),PUGET SOUND ENERGY INC,53061040900
2C4RC1L78L,Snohomish,Marysville,WA,98270,2020,CHRYSLER,PACIFICA,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,32,0,38,128796790,POINT (-122.1769 48.06114),PUGET SOUND ENERGY INC,53061052805
1G1RB6E4XF,Grant,Moses Lake,WA,98837,2015,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,38,0,13,136095774,POINT (-119.2771 47.13196),PUD NO 2 OF GRANT COUNTY,53025010200
WVWPP7AU4G,Snohomish,Everett,WA,98208,2016,VOLKSWAGEN,E-GOLF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,83,0,44,133564140,POINT (-122.19615 47.894423),PUGET SOUND ENERGY INC,53061041606
3FA6P0PU8D,Snohomish,Lynnwood,WA,98087,2013,FORD,FUSION,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,19,0,21,162455177,POINT (-122.266367 47.863478),PUGET SOUND ENERGY INC,53061041901
KNDCC3LG3K,Snohomish,Everett,WA,98208,2019,KIA,NIRO,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,239,0,44,316835739,POINT (-122.19615 47.894423),PUGET SOUND ENERGY INC,53061041609
5YJ3E1EA5J,Snohomish,Everett,WA,98208,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,1,151431759,POINT (-122.19615 47.894423),PUGET SOUND ENERGY INC,53061052114
KNDC3DLC5N,Yakima,Yakima,WA,98902,2022,KIA,EV6,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,14,194088905,POINT (-120.532719 46.59458),PACIFICORP,53077001000
1N4AZ0CP6G,Snohomish,Mill Creek,WA,98012,2016,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84,0,44,259569481,POINT (-122.201515 47.843376),PUGET SOUND ENERGY INC,53061052005
JTDKARFP4J,Yakima,Selah,WA,98942,2018,TOYOTA,PRIUS PRIME,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,25,0,15,475507497,POINT (-120.53113 46.65404),PACIFICORP,53077003400
