csv_id,year_start,year_end,loc_abbrev,loc_desc,source,class,topic,question,response,data_value_unit,data_value_type_id,data_value_type,data_value,data_value_alt,data_value_footnote_symbol,data_value_footnote,low_confidence_limit,high_confidence_limit,sample_size,strat_cat_1,strat1,strat_cat_2,strat2,strat_cat_3,strat3,geolocation,class_id,topic_id,question_id,response_id,location_id,strat_cat_id_1,strat_id_1,strat_cat_id_2,strat_id_2,strat_cat_id_3,strat_id_3,report,id
,2020,2020,HI,Hawaii,BRFSS,Overall Health,Arthritis among older adults,Percentage of older adults ever told they have arthritis,,%,PRCTG,Percentage,26.3,26.3,,,23.9,29,,Age Group,50-64 years,,,,,POINT (-157.8577494 21.30485044),C01,TOC11,Q43,,15,AGE,5064,OVERALL,OVERALL,,,,1
,2017,2017,ID,Idaho,BRFSS,Mental Health,Lifetime diagnosis of depression,Percentage of older adults with a lifetime diagnosis of depression,,%,PRCTG,Percentage,24.0,24.0,,,21.2,27,,Age Group,50-64 years,,,,,POINT (-114.36373 43.68263001),C05,TMC03,Q27,,16,AGE,5064,OVERALL,OVERALL,,,,2
,2017,2017,ID,Idaho,BRFSS,Overall Health,Arthritis among older adults,Percentage of older adults ever told they have arthritis,,%,PRCTG,Percentage,35.7,35.7,,,32.5,39.1,,Age Group,50-64 years,,,,,POINT (-114.36373 43.68263001),C01,TOC11,Q43,,16,AGE,5064,OVERALL,OVERALL,,,,3
,2018,2018,ID,Idaho,BRFSS,Overall Health,Physically unhealthy days (mean number of days),Physically unhealthy days (mean number of days in past month),,Number,MEAN,Mean,4.8,4.8,,,4,5.5,,Age Group,50-64 years,,,,,POINT (-114.36373 43.68263001),C01,TOC01,Q08,,16,AGE,5064,OVERALL,OVERALL,,,,4
,2020,2020,IN,Indiana,BRFSS,Mental Health,Lifetime diagnosis of depression,Percentage of older adults with a lifetime diagnosis of depression,,%,PRCTG,Percentage,13.7,13.7,,,12.1,15.4,,Age Group,Overall,Gender,Male,,,POINT (-86.14996019 39.76691045),C05,TMC03,Q27,,18,AGE,AGE_OVERALL,GENDER,MALE,,,,5
,2020,2020,IA,Iowa,BRFSS,Overall Health,Prevalence of sufficient sleep,Percentage of older adults getting sufficient sleep (>6 hours),,%,PRCTG,Percentage,73.5,73.5,,,72.1,74.8,,Age Group,Overall,,,,,POINT (-93.81649056 42.46940091),C01,TOC09,Q34,,19,AGE,AGE_OVERALL,OVERALL,OVERALL,,,,6
,2020,2020,IA,Iowa,BRFSS,Overall Health,Fair or poor health among older adults with arthritis,Fair or poor health among older adults with doctor-diagnosed arthritis,,%,PRCTG,Percentage,26.1,26.1,,,24,28.3,,Age Group,Overall,,,,,POINT (-93.81649056 42.46940091),C01,TOC13,Q45,,19,AGE,AGE_OVERALL,OVERALL,OVERALL,,,,7
,2019,2019,IA,Iowa,BRFSS,Mental Health,Frequent mental distress,Percentage of older adults who are experiencing frequent mental distress,,%,PRCTG,Percentage,8.7,8.7,,,7.8,9.6,,Age Group,Overall,,,,,POINT (-93.81649056 42.46940091),C05,TMC01,Q03,,19,AGE,AGE_OVERALL,OVERALL,OVERALL,,,,8
,2019,2019,IA,Iowa,BRFSS,Overall Health,Arthritis among older adults,Percentage of older adults ever told they have arthritis,,%,PRCTG,Percentage,20.5,20.5,,,12,32.8,,Age Group,50-64 years,Race/Ethnicity,Hispanic,,,POINT (-93.81649056 42.46940091),C01,TOC11,Q43,,19,AGE,5064,RACE,HIS,,,,9
,2018,2018,IA,Iowa,BRFSS,Overall Health,Fall with injury within last year,Percentage of older adults who have fallen and sustained an injury within last year,,%,PRCTG,Percentage,8.2,8.2,,,7.1,9.4,,Age Group,65 years or older,,,,,POINT (-93.81649056 42.46940091),C01,TOC06,Q05,,19,AGE,65PLUS,OVERALL,OVERALL,,,,10
