Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
12296546,The Thief,Fuminori Nakamura,"Nakamura, Fuminori","Satoko Izumo, Stephen Coates","=""1616950218""","=""9781616950217""",0,3.51,Soho Crime,Hardcover,211,2012,2009,,2022/12/06,to-read,to-read (#204),to-read,,,,0,0
35407631,The Emissary,Yōko Tawada,"Tawada, Yōko",Margaret Mitsutani,"=""0811227626""","=""9780811227629""",0,3.49,New Directions,Paperback,138,2018,2014,,2022/12/06,currently-reading,currently-reading (#5),currently-reading,,,,1,0
60318890,"The Winners (Beartown, #3)",Fredrik Backman,"Backman, Fredrik",,"=""""","=""""",0,4.56,Atria Books,Kindle Edition,671,2022,2021,,2021/01/30,currently-reading,currently-reading (#4),currently-reading,,,,1,0
59576064,All This Could Be Different,Sarah Thankam Mathews,"Mathews, Sarah Thankam",,"=""0593489128""","=""9780593489123""",0,4.10,Viking,Hardcover,320,2022,2022,,2022/12/04,to-read,to-read (#203),to-read,,,,0,0
59366123,Butts: A Backstory,Heather Radke,"Radke, Heather",,"=""1982135484""","=""9781982135485""",0,3.92,Avid Reader Press / Simon  Schuster,Hardcover,320,2022,2022,,2022/12/04,to-read,to-read (#202),to-read,,,,0,0
13526165,"Where'd You Go, Bernadette",Maria Semple,"Semple, Maria",,"=""0316204277""","=""9780316204279""",0,3.88,"Little, Brown and Company",Hardcover,330,2012,2012,,2022/12/01,to-read,to-read (#201),to-read,,,,0,0
9361589,The Night Circus,Erin Morgenstern,"Morgenstern, Erin",,"=""0385534635""","=""9780385534635""",2,4.03,Doubleday,Hardcover,387,2011,2011,2022/11/28,2022/10/27,,,read,,,,1,0
59069071,Ducks: Two Years in the Oil Sands,Kate Beaton,"Beaton, Kate",,"=""1770462899""","=""9781770462892""",5,4.53,Drawn and Quarterly,Hardcover,448,2022,2022,,2022/11/22,,,read,,,,1,0
54493401,Project Hail Mary,Andy Weir,"Weir, Andy",,"=""0593135202""","=""9780593135204""",5,4.52,Ballantine Books,Hardcover,476,2021,2021,2022/10/21,2022/06/16,,,read,I guess I’m a sucker for Andy Weir’s brand of optimistic engineering-minded speculative sci-fi. Was it perfect? No. But it was a really fun journey and total page-turner.,,,1,0
57866423,Kingdom of Characters: The Language Revolution That Made China Modern,Jing Tsu,"Tsu, Jing",,"=""0735214727""","=""9780735214729""",0,3.91,Riverhead Books,Hardcover,336,2022,2022,,2022/11/22,to-read,to-read (#200),to-read,,,,0,0
